"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18021","[Price Format] Each product should display a valid price with currency","webkit","Sun Aug 24 16:53:42 IST 2025","passed","Sun Aug 24 16:54:00 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","11974","[Navigation] User should be able to navigate to a product page from catalog","webkit","Sun Aug 24 16:53:40 IST 2025","passed","Sun Aug 24 16:53:52 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","30876","After clicking checkout page it should go to checkout page","chromium","Sun Aug 24 16:44:20 IST 2025","passed","Sun Aug 24 16:44:51 IST 2025","","cartTest.spec.js","",""
"","12924","[Cart] User should be able to add Black heels to cart","firefox","Sun Aug 24 16:47:05 IST 2025","passed","Sun Aug 24 16:47:18 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","4764","Login page heading is visible","chromium","Sun Aug 24 16:45:07 IST 2025","passed","Sun Aug 24 16:45:12 IST 2025","","forgotPassword.spec.js","",""
"","28730","[Sold Out] Product marked as Sold Out should not be added to cart","webkit","Sun Aug 24 16:53:43 IST 2025","passed","Sun Aug 24 16:54:12 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","16939","Breadcrumb navigation from product -> frontpage -> home","firefox","Sun Aug 24 16:46:26 IST 2025","passed","Sun Aug 24 16:46:43 IST 2025","","breadcrumbNavToHome.spec.js","",""
"","10283","Search should handle SQL injection payload safely","firefox","Sun Aug 24 16:49:52 IST 2025","passed","Sun Aug 24 16:50:02 IST 2025","","searchTest.spec.js","",""
"","7568","[Dropdowns] Each dropdown should have at least one value on product detail page","firefox","Sun Aug 24 16:47:47 IST 2025","passed","Sun Aug 24 16:47:54 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","3936","search","chromium","Sun Aug 24 16:45:04 IST 2025","passed","Sun Aug 24 16:45:08 IST 2025","About us page","footerTest.spec.js","",""
"","10038","Verify shopping cart software link opens correctly","webkit","Sun Aug 24 16:50:17 IST 2025","passed","Sun Aug 24 16:50:27 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","11994","search","webkit","Sun Aug 24 16:53:52 IST 2025","passed","Sun Aug 24 16:54:04 IST 2025","About us page","footerTest.spec.js","",""
"","15088","Verify shopping cart software link opens correctly","chromium","Sun Aug 24 16:43:41 IST 2025","passed","Sun Aug 24 16:43:57 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","11588","Forgot password form submit","firefox","Sun Aug 24 16:48:39 IST 2025","passed","Sun Aug 24 16:48:51 IST 2025","","forgotPassword.spec.js","",""
"","5667","Header link ""My Cart"" should be visible and clickable","firefox","Sun Aug 24 16:49:21 IST 2025","passed","Sun Aug 24 16:49:26 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","13225","Verify Pinterest save button works","webkit","Sun Aug 24 16:50:27 IST 2025","passed","Sun Aug 24 16:50:40 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","45815","is the cart empty message visible","webkit","Sun Aug 24 16:51:31 IST 2025","passed","Sun Aug 24 16:52:17 IST 2025","","cartTest.spec.js","",""
"","19438","Verify template link opens in new tab","chromium","Sun Aug 24 16:43:41 IST 2025","passed","Sun Aug 24 16:44:01 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","7647","Forgot password cancel navigation","firefox","Sun Aug 24 16:48:43 IST 2025","passed","Sun Aug 24 16:48:51 IST 2025","","forgotPassword.spec.js","",""
"","47372","Header link ""Sign Up"" should be visible and clickable","firefox","Sun Aug 24 16:51:21 IST 2025","broken","Sun Aug 24 16:52:09 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","25098","Verify shopping cart software link opens correctly","firefox","Sun Aug 24 16:45:40 IST 2025","passed","Sun Aug 24 16:46:05 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","34539","check the cart count gets increase if added product","webkit","Sun Aug 24 16:52:43 IST 2025","passed","Sun Aug 24 16:53:18 IST 2025","","cartTest.spec.js","",""
"","25387","Header link ""About Us"" should be visible and clickable","webkit","Sun Aug 24 16:54:12 IST 2025","passed","Sun Aug 24 16:54:37 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","13261","[Social] All social media icons should be visible on product page","webkit","Sun Aug 24 16:53:41 IST 2025","passed","Sun Aug 24 16:53:55 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","10146","[Products] Catalog page should display all expected products","chromium","Sun Aug 24 16:44:45 IST 2025","passed","Sun Aug 24 16:44:55 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","22053","After clicking checkout page it should go to checkout page","firefox","Sun Aug 24 16:47:51 IST 2025","passed","Sun Aug 24 16:48:13 IST 2025","","cartTest.spec.js","",""
"","7429","Forgot password cancel navigation","chromium","Sun Aug 24 16:45:10 IST 2025","passed","Sun Aug 24 16:45:18 IST 2025","","forgotPassword.spec.js","",""
"","13861","Header link ""Log In"" should be visible and clickable","webkit","Sun Aug 24 16:54:16 IST 2025","passed","Sun Aug 24 16:54:30 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","23574","check the cart count gets increase if added product","chromium","Sun Aug 24 16:44:24 IST 2025","passed","Sun Aug 24 16:44:48 IST 2025","","cartTest.spec.js","",""
